city,YEAR,total arrivals by city,pct_of_county,county,lat,lon
Aberdeen,2019,574068,0.64,Brown,45.46812,-98.4854
Aberdeen,2020,438943,0.49,Brown,45.46812,-98.4854
Aberdeen,2021,582797,0.65,Brown,45.46812,-98.4854
Agar,2019,10177,0.40,Sully,44.84139,-100.15322
Agar,2020,7630,0.39,Sully,44.84139,-100.15322
Agar,2021,4621,0.25,Sully,44.84139,-100.15322
Akaska,2019,9113,0.10,Walworth,45.31494,-100.12939
Akaska,2020,7969,0.10,Walworth,45.31494,-100.12939
Akaska,2021,8168,0.10,Walworth,45.31494,-100.12939
Alcester,2019,10805,0.05,Union,43.00462,-96.61078
Alcester,2020,7705,0.04,Union,43.00462,-96.61078
Alcester,2021,6622,0.03,Union,43.00462,-96.61078
Alexandria,2019,8145,0.45,Hanson,43.65404,-97.77992
Alexandria,2020,9863,0.57,Hanson,43.65404,-97.77992
Alexandria,2021,10326,0.49,Hanson,43.65404,-97.77992
Allen,2019,4792,0.20,Bennett,43.27676,-101.93195
Allen,2020,1978,0.08,Bennett,43.27676,-101.93195
Allen,2021,2831,0.09,Bennett,43.27676,-101.93195
Alpena,2019,4727,0.17,Jerauld,44.18261,-98.37132
Alpena,2020,6548,0.33,Jerauld,44.18261,-98.37132
Alpena,2021,7889,0.30,Jerauld,44.18261,-98.37132
Amherst,2019,1422,0.03,Marshall,45.74929,-97.93238
Amherst,2020,540,0.01,Marshall,45.74929,-97.93238
Amherst,2021,582,0.01,Marshall,45.74929,-97.93238
Andover,2019,9700,0.08,Day,45.25062,-93.28758
Andover,2020,2243,0.02,Day,45.25062,-93.28758
Andover,2021,1871,0.02,Day,45.25062,-93.28758
Arlington,2019,34077,0.43,Kingsbury,44.39758,-97.14215
Arlington,2020,28337,0.48,Kingsbury,44.39758,-97.14215
Arlington,2021,27791,0.37,Kingsbury,44.39758,-97.14215
Armour,2019,11937,0.46,Douglas,43.31399,-98.33894
Armour,2020,12299,0.51,Douglas,43.31399,-98.33894
Armour,2021,14053,0.52,Douglas,43.31399,-98.33894
Artesian,2019,10875,0.42,Sanborn,44.05967,-98.04251
Artesian,2020,5649,0.33,Sanborn,44.05967,-98.04251
