city,YEAR,total arrivals by city,pct_of_county,county,arrival_unexposed_PCT,arrival_exposed_PCT,lat,lon
Aberdeen,2019,574068,1.267753389463,Brown,0.9096759187471,0.0903240812529,45.46812,-98.4854
Aberdeen,2020,438943,1.318514266000,Brown,0.8789076866495,0.1210923133505,45.46812,-98.4854
Aberdeen,2021,582797,1.309412498444,Brown,0.8283395408305,0.1716604591695,45.46812,-98.4854
Agar,2019,10177,0.398974169281,Sully,0.8937500000000,0.1062500000000,44.84139,-100.15322
Agar,2020,7630,0.392424936577,Sully,0.7815699658703,0.2184300341297,44.84139,-100.15322
Agar,2021,4621,0.251826692456,Sully,0.8251748251748,0.1748251748252,44.84139,-100.15322
Akaska,2019,9113,0.095988895115,Walworth,0.8989361702128,0.1010638297872,45.31494,-100.12939
Akaska,2020,7969,0.099651428906,Walworth,0.8802660753880,0.1197339246120,45.31494,-100.12939
Akaska,2021,8168,0.095190703245,Walworth,0.8486055776892,0.1513944223108,45.31494,-100.12939
Alcester,2019,10805,0.046201129899,Union,0.9419354838710,0.0580645161290,43.00462,-96.61078
Alcester,2020,7705,0.044757119316,Union,0.8459016393443,0.1540983606557,43.00462,-96.61078
Alcester,2021,6622,0.032541911330,Union,0.8278688524590,0.1721311475410,43.00462,-96.61078
Alexandria,2019,8145,0.448934563009,Hanson,0.9000000000000,0.1000000000000,43.65404,-97.77992
Alexandria,2020,9863,0.569323679055,Hanson,0.8814531548757,0.1185468451243,43.65404,-97.77992
Alexandria,2021,10326,0.492939391339,Hanson,0.8681318681319,0.1318681318681,43.65404,-97.77992
Allen,2019,4792,0.204904639677,Bennett,0.9466666666667,0.0533333333333,43.27676,-101.93195
Allen,2020,1978,0.082523372565,Bennett,0.9174311926606,0.0825688073394,43.27676,-101.93195
Allen,2021,2831,0.092795897745,Bennett,0.8727272727273,0.1272727272727,43.27676,-101.93195
Alpena,2019,4727,0.169302677257,Jerauld,0.9393939393939,0.0606060606061,44.18261,-98.37132
Alpena,2020,6548,0.330864901961,Jerauld,0.8877192982456,0.1122807017544,44.18261,-98.37132
Alpena,2021,7889,0.296016276430,Jerauld,0.8728813559322,0.1271186440678,44.18261,-98.37132
Amherst,2019,1422,0.025959601538,Marshall,0.8333333333333,0.1666666666667,45.74929,-97.93238
Amherst,2020,540,0.013123792806,Marshall,0.6923076923077,0.3076923076923,45.74929,-97.93238
Amherst,2021,582,0.011850093638,Marshall,0.8095238095238,0.1904761904762,45.74929,-97.93238
Andover,2019,9700,0.083736514007,Day,0.8765432098765,0.1234567901235,45.25062,-93.28758
Andover,2020,2243,0.024375208615,Day,0.8534482758621,0.1465517241379,45.25062,-93.28758
Andover,2021,1871,0.017387576528,Day,0.8636363636364,0.1363636363636,45.25062,-93.28758
Arlington,2019,34077,0.432671486515,Kingsbury,0.9274537695590,0.0725462304410,44.39758,-97.14215
Arlington,2020,28337,0.477686370032,Kingsbury,0.8820895522388,0.1179104477612,44.39758,-97.14215
Arlington,2021,27791,0.370743169348,Kingsbury,0.8354564755839,0.1645435244161,44.39758,-97.14215
Armour,2019,11937,0.456436360643,Douglas,0.9502762430939,0.0497237569061,43.31399,-98.33894
Armour,2020,12299,0.513920102338,Douglas,0.8902077151335,0.1097922848665,43.31399,-98.33894
Armour,2021,14053,0.516782623187,Douglas,0.8566037735849,0.1433962264151,43.31399,-98.33894
Artesian,2019,10875,0.420846108273,Sanborn,0.8676470588235,0.1323529411765,44.05967,-98.04251
Artesian,2020,5649,0.325080781276,Sanborn,0.8807947019868,0.1192052980132,44.05967,-98.04251
Artesian,2021,4200,0.223757512803,Sanborn,0.8251748251748,0.1748251748252,44.05967,-98.04251
Ashton,2019,6103,0.094752028960,Spink,0.8947368421053,0.1052631578947,45.00327,-98.55541
Ashton,2020,2716,0.049137726251,Spink,0.7971014492754,0.2028985507246,45.00327,-98.55541
Ashton,2021,3471,0.049739038943,Spink,0.8846153846154,0.1153846153846,45.00327,-98.55541
Astoria,2019,5037,0.085643346179,Deuel,0.8863636363636,0.1136363636364,44.5548,-96.49185
Astoria,2020,6708,0.134287860398,Deuel,0.8807947019868,0.1192052980132,44.5548,-96.49185
Astoria,2021,2482,0.052008311760,Deuel,0.7884615384615,0.2115384615385,44.5548,-96.49185
Aurora,2019,8566,0.018873015701,Brookings,0.8881578947368,0.1118421052632,39.6601,-104.77513
Aurora,2020,5916,0.023174833054,Brookings,0.9031413612565,0.0968586387435,39.6601,-104.77513
Aurora,2021,6799,0.019717069040,Brookings,0.8670694864048,0.1329305135952,39.6601,-104.77513
Avon,2019,10244,0.184114665720,Bon Homme,0.8870431893688,0.1129568106312,42.99447,-98.05449
Avon,2020,12114,0.266031559541,Bon Homme,0.8720445062587,0.1279554937413,42.99447,-98.05449
Avon,2021,13694,0.242679685969,Bon Homme,0.8323471400394,0.1676528599606,42.99447,-98.05449
Badger,2019,226,0.002872066413,Kingsbury,0.9230769230769,0.0769230769231,42.61411,-94.17311
Badger,2020,33,0.000547956284,Kingsbury,1.0000000000000,0.0000000000000,42.61411,-94.17311
Badger,2021,260,0.003465219895,Kingsbury,0.7272727272727,0.2727272727273,42.61411,-94.17311
Baltic,2019,14986,0.005325331488,Minnehaha,0.9365558912387,0.0634441087613,43.74013,-96.743
Baltic,2020,10789,0.005633096314,Minnehaha,0.8903225806452,0.1096774193548,43.74013,-96.743
Baltic,2021,12350,0.004940364122,Minnehaha,0.8623376623377,0.1376623376623,43.74013,-96.743
Barnard,2019,291,0.000642930920,Brown,1.0000000000000,0.0000000000000,40.18903,-94.85282
Barnard,2020,186,0.000558502170,Brown,1.0000000000000,0.0000000000000,40.18903,-94.85282
Barnard,2021,0,0.000000000000,Brown,0.6666666666667,0.3333333333333,40.18903,-94.85282
