"geo_area","pop2021","visitor2021","ratio","visitorTOpop","region","fips","x","y","order","hole","piece","group","abbr","full","county"
"Aurora",2748,46710,0.06,1700,"Missouri River","46003",95466.61760581,-117696.94501759,42011,FALSE,1,"46003.1","SD","South Dakota","Aurora County"
"Aurora",2748,46710,0.06,1700,"Missouri River","46003",133591.60774399,-116750.59131354,42012,FALSE,1,"46003.1","SD","South Dakota","Aurora County"
"Aurora",2748,46710,0.06,1700,"Missouri River","46003",133744.77462021,-124442.57731049,42013,FALSE,1,"46003.1","SD","South Dakota","Aurora County"
"Aurora",2748,46710,0.06,1700,"Missouri River","46003",134289.46741444,-126373.381729,42014,FALSE,1,"46003.1","SD","South Dakota","Aurora County"
"Aurora",2748,46710,0.06,1700,"Missouri River","46003",135460.01954058,-165542.85448571,42015,FALSE,1,"46003.1","SD","South Dakota","Aurora County"
"Aurora",2748,46710,0.06,1700,"Missouri River","46003",104393.58903829,-166034.98234763,42016,FALSE,1,"46003.1","SD","South Dakota","Aurora County"
"Aurora",2748,46710,0.06,1700,"Missouri River","46003",97231.25048848,-166159.42627504,42017,FALSE,1,"46003.1","SD","South Dakota","Aurora County"
"Aurora",2748,46710,0.06,1700,"Missouri River","46003",96472.78430684,-127317.80685532,42018,FALSE,1,"46003.1","SD","South Dakota","Aurora County"
"Aurora",2748,46710,0.06,1700,"Missouri River","46003",95466.61760581,-117696.94501759,42019,FALSE,1,"46003.1","SD","South Dakota","Aurora County"
"Beadle",19121,290617,0.07,1520,"Glacial Lakes & Prairies","46005",102404.37949133,-39863.01190434,42020,FALSE,1,"46005.1","SD","South Dakota","Beadle County"
"Beadle",19121,290617,0.07,1520,"Glacial Lakes & Prairies","46005",159998.69596753,-38970.37574335,42021,FALSE,1,"46005.1","SD","South Dakota","Beadle County"
"Beadle",19121,290617,0.07,1520,"Glacial Lakes & Prairies","46005",169615.53574104,-38770.63167122,42022,FALSE,1,"46005.1","SD","South Dakota","Beadle County"
"Beadle",19121,290617,0.07,1520,"Glacial Lakes & Prairies","46005",170122.77011959,-48410.86087253,42023,FALSE,1,"46005.1","SD","South Dakota","Beadle County"
"Beadle",19121,290617,0.07,1520,"Glacial Lakes & Prairies","46005",171092.58275422,-87226.91186781,42024,FALSE,1,"46005.1","SD","South Dakota","Beadle County"
"Beadle",19121,290617,0.07,1520,"Glacial Lakes & Prairies","46005",132963.50407614,-87967.19122136,42025,FALSE,1,"46005.1","SD","South Dakota","Beadle County"
"Beadle",19121,290617,0.07,1520,"Glacial Lakes & Prairies","46005",103598.50338433,-88491.22078887,42026,FALSE,1,"46005.1","SD","South Dakota","Beadle County"
"Beadle",19121,290617,0.07,1520,"Glacial Lakes & Prairies","46005",102404.37949133,-39863.01190434,42027,FALSE,1,"46005.1","SD","South Dakota","Beadle County"
"Bennett",3406,42401,0.08,1245,"Black Hills and Badlands","46007",-170557.52277723,-176822.57257545,42028,FALSE,1,"46007.1","SD","South Dakota","Bennett County"
"Bennett",3406,42401,0.08,1245,"Black Hills and Badlands","46007",-99253.5644401,-178361.48613485,42029,FALSE,1,"46007.1","SD","South Dakota","Bennett County"
"Bennett",3406,42401,0.08,1245,"Black Hills and Badlands","46007",-99879.49599703,-221865.13758895,42030,FALSE,1,"46007.1","SD","South Dakota","Bennett County"
"Bennett",3406,42401,0.08,1245,"Black Hills and Badlands","46007",-169358.94677764,-220316.45588807,42031,FALSE,1,"46007.1","SD","South Dakota","Bennett County"
"Bennett",3406,42401,0.08,1245,"Black Hills and Badlands","46007",-171138.86036152,-205798.53593629,42032,FALSE,1,"46007.1","SD","South Dakota","Bennett County"
"Bennett",3406,42401,0.08,1245,"Black Hills and Badlands","46007",-170557.52277723,-176822.57257545,42033,FALSE,1,"46007.1","SD","South Dakota","Bennett County"
"Bon Homme",7014,68560,0.1,977,"Southeast","46009",150635.40848297,-238337.29878942,42034,FALSE,1,"46009.1","SD","South Dakota","Bon Homme County"
"Bon Homme",7014,68560,0.1,977,"Southeast","46009",153461.74064077,-235133.04113498,42035,FALSE,1,"46009.1","SD","South Dakota","Bon Homme County"
"Bon Homme",7014,68560,0.1,977,"Southeast","46009",153523.2137736,-210876.75126624,42036,FALSE,1,"46009.1","SD","South Dakota","Bon Homme County"
"Bon Homme",7014,68560,0.1,977,"Southeast","46009",155947.81541385,-201827.85669025,42037,FALSE,1,"46009.1","SD","South Dakota","Bon Homme County"
"Bon Homme",7014,68560,0.1,977,"Southeast","46009",191588.01050156,-200843.63545067,42038,FALSE,1,"46009.1","SD","South Dakota","Bon Homme County"
"Bon Homme",7014,68560,0.1,977,"Southeast","46009",192756.00458352,-236067.31511202,42039,FALSE,1,"46009.1","SD","South Dakota","Bon Homme County"
"Bon Homme",7014,68560,0.1,977,"Southeast","46009",187435.69237522,-237110.24315255,42040,FALSE,1,"46009.1","SD","South Dakota","Bon Homme County"
"Bon Homme",7014,68560,0.1,977,"Southeast","46009",179217.92545634,-235756.16813353,42041,FALSE,1,"46009.1","SD","South Dakota","Bon Homme County"
"Bon Homme",7014,68560,0.1,977,"Southeast","46009",174584.3372764,-235090.58789439,42042,FALSE,1,"46009.1","SD","South Dakota","Bon Homme County"
"Bon Homme",7014,68560,0.1,977,"Southeast","46009",173077.09872598,-236512.39692303,42043,FALSE,1,"46009.1","SD","South Dakota","Bon Homme County"
"Bon Homme",7014,68560,0.1,977,"Southeast","46009",170936.07155102,-242550.29906105,42044,FALSE,1,"46009.1","SD","South Dakota","Bon Homme County"
"Bon Homme",7014,68560,0.1,977,"Southeast","46009",167333.35278225,-245895.06021987,42045,FALSE,1,"46009.1","SD","South Dakota","Bon Homme County"
